"","donors","country"
"1","EU","Afghanistan"
"2","EU","Afghanistan"
"3","UK","Afghanistan"
"4","UK","Cambodia"
"5","UK","Myanmar"
"6","UK","Pakistan"
"7","UK","Papua New Guinea"
"8","FAO","Angola"
"9","USA","Armenia"
"10","World Bank","Armenia"
"11","UNDP","Armenia"
"12","EU","Bangladesh"
"13","BMGF","Bangladesh"
"14","FAO","Bangladesh"
"15","UK","Bangladesh"
"16","UK","Indonesia"
"17","UK","Lao People's Democratic Republic"
"18","UK","Mongolia"
"19","UK","Sri Lanka"
"20","UK","Viet Nam"
"21","FAO","Bangladesh"
"22","FAO","Bangladesh"
"23","FAO","Lao People's Democratic Republic"
"24","FAO","Myanmar"
"25","FAO","Nepal"
"26","FAO","Philippines"
"27","FAO","Timor-Leste"
"28","UK","Bhutan"
"29","UK","China"
"30","UK","Fiji"
"31","UK","Georgia"
"32","UK","Maldives"
"33","UK","Samoa"
"34","UK","Tonga"
"35","ADB","Bhutan"
"36","ADB","Lao People's Democratic Republic"
"37","ADB","Maldives"
"38","ADB","Philippines"
"39","ADB","Viet Nam"
"40","FAO","Bolivia, Plurinational State of"
"41","FAO","Brazil"
"42","EU","Burundi"
"43","Netherlands","Burundi"
"44","Italy","Burundi"
"45","Italy","Kenya"
"46","Italy","Uganda"
"47","Italy","Tanzania, United Republic of"
"48","Italy","Rwanda"
"49","AfDB, FAO","Cabo Verde"
"50","FAO","Cabo Verde"
"51","Australia, Sweden, USA","Cambodia"
"52","USA","Cambodia"
"53","Sweden","Cambodia"
"54","FAO","Cameroon"
"55","UNECA","Cameroon"
"56","UNECA","Gambia"
"57","UNECA","Zimbabwe"
"58","EU","Chad"
"59","EU","Chad"
"60","FAO","Chad"
"61","Italy","Burkina Faso"
"62","Italy","Chad"
"63","Italy","Niger"
"64","Italy","Mali"
"65","Italy","Mauritania"
"66","FAO","Colombia"
"67","FAO","Comoros"
"68","FAO","Comoros"
"69","Congo","Congo"
"70","EU","Cote d'Ivoire"
"71","FAO","Cote d'Ivoire"
"72","EU","Dominican Republic"
"73","FAO","Dominican Republic"
"74","FAO","Ecuador"
"75","FAO","El Salvador"
"76","FAO","Equatorial Guinea"
"77","BMGF","Ethiopia"
"78","USA","Georgia"
"79","USA","Georgia"
"80","FAO","Ghana"
"81","FAO","Guatemala"
"82","FAO","Guyana"
"83","FAO","Guyana"
"84","USA","Haiti"
"85","BMGF","India"
"86","FAO","Kiribati"
"87","FAO","Kyrgyzstan"
"88","ADB","Lao People's Democratic Republic"
"89","ADB","Philippines"
"90","ADB","Thailand"
"91","ADB","Viet Nam"
"92","EU","Lebanon"
"93","FAO","Madagascar"
"94","FAO","Mali"
"95","FAO","Mauritius"
"96","Romania","Moldova, Republic of"
"97","FAO","Morocco"
"98","FAO","Namibia"
"99","EU","Nepal"
"100","BMGF","Nigeria"
"101","FAO","Pakistan"
"102","IADB","Peru"
"103","FAO","Peru"
"104","FAO","Philippines"
"105","Japan","Philippines"
"106","Japan","Thailand"
"107","USA","Rwanda"
"108","FAO","Rwanda"
"109","FAO","Samoa"
"110","FAO","Senegal"
"111","EU","Somalia"
"112","EU","South Sudan"
"113","WFP","South Sudan"
"114","EU","Sudan"
"115","FAO","Sudan"
"116","EU","Tajikistan"
"117","Japan","Tanzania, United Republic of"
"118","USA","Tanzania, United Republic of"
"119","FAO","Tanzania, United Republic of"
"120","FAO","Tanzania, United Republic of"
"121","FAO","Timor-Leste"
"122","FAO","Timor-Leste"
"123","FAO","Tonga"
"124","FAO","Tunisia"
"125","Turkey","Turkey"
"126","Turkey","Tajikistan"
"127","Turkey","Kyrgyzstan"
"128","FAO","Uzbekistan"
"129","FAO","Turkey"
"130","FAO","Turkmenistan"
"131","FAO","Tajikistan"
"132","FAO","Pakistan"
"133","FAO","Kazakhstan"
"134","FAO","Kyrgyzstan"
"135","FAO","Iran, Islamic Republic of"
"136","FAO","Azerbaijan"
"137","FAO","Afghanistan"
"138","EU","Yemen"
"139","EU","Yemen"
"140","BMGF","Zambia"
"141","BMGF","Uganda"
"142","BMGF","Tanzania, United Republic of"
"143","BMGF","Senegal"
"144","BMGF","Rwanda"
"145","BMGF","Nigeria"
"146","BMGF","Mozambique"
"147","BMGF","Malawi"
"148","BMGF","Mali"
"149","BMGF","Kenya"
"150","BMGF","Ghana"
"151","BMGF","Ethiopia"
"152","BMGF","Cameroon"
"153","BMGF","Cote d'Ivoire"
"154","BMGF","Benin"
"155","BMGF","Burkina Faso"
"156","BMGF","Angola"
