country,score
Algeria,49.2
Angola,20.1
Benin,52.8
Botswana,60.3
Burkina Faso,58.6
Burundi,35.3
Cabo Verde,50.9
Cameroon,52.3
Central African Republic,-
Chad,22.5
Comoros,27
"Congo, DR",30.1
Congo   ,33.1
Cote d'Ivoire,43.3
Djibouti,38.6
Egypt,62.9
Equatorial Guinea,25.1
Eritrea,-
Ethiopia,66.5
Gabon,39.4
Gambia,39.9
Ghana,64.1
Guinea,34.8
Guinea-bissau,16.3
Kenya,57.1
Lesotho,55.8
Liberia,44.6
Libya,17.3
Madagascar,23.6
Malawi,53.2
Mali,52.7
Mauritania,44.9
Mauritius,61
Morocco,54.5
Mozambique,56.7
Namibia,63.8
Niger ,56.8
Nigeria,54.9
Rwanda,62.5
Sao Tome & Principe,44.2
Senegal,55
Seychelles,34.1
Sierra Leone,49.7
Somalia,28.2
South Africa,65.6
South Sudan,36.4
Sudan,37.8
Swaziland,41.9
Tanzania,54.1
Togo,42.5
Tunisia,59.1
Uganda,62
Zambia,50
Zimbabwe,32.3
